,0
check,380
damask,271
ikat,190
floral,2442
stripe,1323
geometric,2342
curve,472
grungy,152
marble,343
terrazzo,127
wavy,232
pastel,687
iridescent,114
holographic,129
linen,190
butterfly,168
tropical,961
triangle,371
star,474
bird,324
leaf,1813
abstract,4735
botanical,1016
white,3035
nature,2429
flower,2114
colorful,1816
summer,2200
color,3740
blue,1647
black,1909
line,2169
drawing,1999
trendy,1512
shape,1487
watercolor,1427
creative,1300
spring,1518
beautiful,1333
pink,1331
purple,318
grunge,982
ornate,839
bright,971
template,1190
cute,1480
plant,1448
natural,1106
textured,885
simple,1213
ethnic,689
green,1104
traditional,787
old,1348
elegant,858
paint,1507
artistic,769
mosaic,490
drawn,1887
hand,2237
classic,759
garden,1076
exotic,849
beauty,655
light,777
ornamental,616
doodle,914
blossom,880
cloth,1080
monochrome,747
tribal,441
wave,565
animal,835
romantic,674
cartoon,873
elegance,495
stone,335
yellow,600
effect,438
luxury,449
brush,695
boho,426
artwork,498
floor,321
jungle,658
gradient,287
sketch,759
antique,343
oriental,394
silhouette,557
palm,557
set,796
flora,2468
gray,469
vibrant,252
circle,505
batik,307
tree,755
gold,558
branch,593
painting,506
leaves,996
rose,536
organic,464
baby,636
foliage,512
rock,322
grey,396
granite,195
plaid,354
lines,558
victorian,307
dark,527
water,1738
wild,831
rainbow,325
hipster,440
grid,373
hawaii,410
brown,354
petal,383
dye,293
swirl,235
bloom,536
happy,469
tropic,982
rough,340
beige,340
baroque,246
orange,341
dot,751
fantasy,314
minimal,496
folk,403
diagonal,264
checkered,283
distressed,172
bohemian,248
pretty,327
sea,6876
love,534
tartan,279
rustic,303
zigzag,250
chevron,252
